key,rank
vit_18s0164g00070,240
vit_18s0001g13600,241
vit_12s0057g00080,242
vit_18s0001g02790,243
vit_02s0025g00750,244
vit_06s0004g04660,245
vit_18s0001g11930,246
vit_11s0016g02240,247
vit_05s0077g00560,248
vit_15s0048g02550,249
vit_13s0047g00230,250
vit_18s0001g01380,251
vit_14s0066g01810,252
vit_07s0104g01170,253
vit_08s0007g01630,254
vit_07s0129g00320,255
vit_13s0019g03050,256
vit_18s0001g08560,257
vit_13s0019g03490,258
vit_03s0017g00970,259
vit_17s0000g06180,260
vit_08s0040g01190,261
vit_02s0025g03600,262
vit_01s0011g03670,263
vit_01s0150g00380,264
vit_11s0052g01140,265
vit_09s0002g01380,266
vit_08s0056g00330,267
vit_15s0048g01600,268
vit_17s0000g01420,269
vit_05s0020g04150,270
vit_09s0018g00780,271
vit_09s0002g05270,272
vit_14s0030g01030,273
vit_03s0180g00200,274
vit_07s0104g01460,275
vit_05s0049g00760,276
vit_04s0043g00560,277
vit_00s0380g00020,278
vit_06s0004g05730,279
vit_13s0064g01250,280
vit_02s0025g02270,281
vit_00s0375g00030,282
vit_16s0050g02100,283
vit_19s0090g01370,284
vit_02s0025g02020,285
vit_05s0020g01390,286
vit_18s0089g00180,287
vit_18s0001g03120,288
vit_04s0043g00860,289
vit_16s0050g00770,290
vit_01s0137g00820,291
vit_04s0043g00510,292
vit_13s0074g00040,293
vit_18s0089g00120,294
vit_17s0000g02140,295
vit_18s0001g05080,296
vit_05s0094g00230,297
vit_17s0119g00160,298
vit_14s0006g02290,299
vit_11s0016g01850,300
vit_02s0012g02670,301
vit_07s0129g01060,302
vit_05s0062g00820,303
vit_02s0025g03310,304
vit_18s0001g14660,305
vit_10s0116g00170,306
vit_05s0094g00470,307
vit_08s0040g03180,308
vit_00s0227g00190,309
vit_00s0445g00030,310
vit_11s0052g00630,311
vit_11s0016g03200,312
vit_13s0067g01990,313
vit_11s0016g03110,314
vit_08s0058g01150,315
vit_05s0062g01190,316
vit_01s0026g00530,317
vit_18s0086g00510,318
vit_19s0135g00250,319
vit_18s0001g01030,320
vit_10s0003g03910,321
vit_01s0127g00680,322
vit_08s0007g06670,323
vit_08s0056g00240,324
vit_18s0001g12830,325
vit_12s0142g00160,326
vit_02s0025g03550,327
vit_18s0001g13350,328
vit_18s0001g13460,329
vit_10s0116g00820,330
vit_15s0048g02680,331
vit_10s0071g00320,332
