from,to
VIT_02s0033g00450<br>VIT_02s0033g00380<br>VIT_02s0033g00390<br>VIT_02s0033g00410,VIT_02s0033g00450<br>VIT_02s0033g00380<br>VIT_02s0033g00390<br>VIT_02s0033g00410
VIT_07s0104g00090,VIT_07s0104g00090
VIT_16s0039g02230,VIT_16s0039g02230
