from,to
VIT_18s0001g10450,VIT_18s0001g10450
VIT_11s0016g03180,VIT_11s0016g03180
VIT_15s0048g02870,VIT_15s0048g02870
VIT_01s0026g02710,VIT_01s0026g02710
VIT_16s0050g01880,VIT_16s0050g01880
